num1,num2,expected,output,parsed_result,calculated_result,arithmetic_valid,correct,steps
5953,287918507,287924460,"5953+287918507:0,2,0>2,0;0,8,0>8,0;0,7,0>7,0;0,9,0>9,0;0,1,0>2,0;5,8,1>3,1;9,5,1>4,1;5,0,0>5,0;3,7,1>0,1|=2",2,287934460,False,False,9
14,915572,915586,"14+915572:0,9,0>9,0;0,1,0>1,0;0,5,0>5,0;0,5,0>5,0;1,7,0>8,0;4,2,0>6,0|=9",9,915586,False,False,6
8270,74,8344,"8270+74:8,0,0>8,0;2,0,0>3,0;7,7,1>4,1;0,4,0>4,0|=8",8,8444,False,False,4
8,30679969,30679977,"8+30679969:0,3,0>3,0;0,0,0>0,0;0,6,0>6,0;0,7,0>7,0;0,9,1>0,1;0,9,0>9,0;0,6,0>6,0;8,9,1>7,1|=3",3,30680977,False,False,8
8921,868020,876941,"8921+868020:0,8,0>8,0;0,6,0>7,0;8,8,1>7,1;9,0,0>9,0;2,2,0>5,0;1,0,0>2,0|=8",8,887952,False,False,6
932722445,52904,932775349,"932722445+52904:9,0,0>9,0;3,0,0>3,0;2,0,0>2,0;7,0,0>8,0;2,5,0>7,0;2,9,1>1,1;4,9,1>3,1;4,0,0>4,0;5,4,0>9,0|=9",9,932882349,False,False,9
941,76,1017,"941+76:0,0,1>1,0;9,0,1>0,1;1,7,0>8,0;1,6,0>7,0|=1",1,2087,False,False,4
841,1598,2439,"841+1598:0,1,0>2,0;8,5,1>3,1;4,9,1>3,1;1,8,0>9,0|=2",2,3439,False,False,4
80107942,2943405,83051347,"80107942+2943405:8,0,0>9,0;0,2,0>3,0;1,9,1>0,1;0,4,0>5,0;7,3,1>0,1;9,4,1>3,1;4,0,0>5,0;2,5,0>7,0|=9",9,94061357,False,False,8
0,87894,87894,"0+87894:0,8,0>8,0;0,7,0>7,0;0,8,0>8,0;0,9,0>9,0;0,4,0>4,0|=8",8,87894,False,False,5
69,148381,148450,"69+148381:0,1,0>1,0;0,4,0>5,0;0,8,0>9,0;0,3,0>3,0;6,8,1>4,1;9,1,1>0,1|=1",1,159450,False,False,6
94,900533293,900533387,"94+900533293:0,9,0>9,0;0,0,0>0,0;0,0,0>0,0;0,5,0>5,0;0,3,0>3,0;0,3,0>3,0;0,2,0>2,0;9,9,1>8,1;4,3,0>7,0|=9",9,900533387,False,False,9
85701,4,85705,"85701+4:8,0,0>8,0;5,0,0>5,0;7,0,0>7,0;0,0,0>1,0;1,4,0>4,0|=8",8,85714,False,False,5
4285,301898,306183,"4285+301898:0,3,0>3,0;0,0,0>1,0;4,1,0>6,0;5,8,1>4,1;8,9,1>8,1;5,8,1>3,1|=3",3,317593,False,False,6
79766,51831,131597,"79766+51831:0,0,1>1,0;7,5,1>1,1;9,1,1>0,1;7,8,1>6,1;6,3,1>0,1;6,1,0>7,0|=1",1,221707,False,False,6
46595028,29,46595057,"46595028+29:4,0,0>4,0;6,0,0>6,0;5,0,0>5,0;9,0,0>9,0;5,0,0>5,0;0,0,0>0,0;2,2,0>4,0;8,9,1>7,1|=4",4,46595057,False,False,8
217,11999,12216,"217+11999:0,1,0>1,0;0,1,0>1,0;2,9,1>2,1;1,9,1>0,1;7,9,1>6,1|=1",1,12316,False,False,5
3207873733,321810768,3529684501,"3207873733+321810768:3,0,0>4,0;2,3,0>5,0;3,2,0>5,0;7,1,0>8,0;7,8,1>5,1;7,1,0>9,0;7,0,0>7,0;7,7,1>5,1;3,6,0>9,0;3,8,1>1,1|=4",4,4559598601,False,False,10
689876885,433955,690310840,"689876885+433955:6,0,0>7,0;8,0,0>8,0;9,0,0>9,0;8,4,1>3,1;7,3,1>1,1;6,3,0>9,0;8,9,1>7,1;8,5,1>3,1;5,5,1>0,1|=7",7,790420840,False,False,9
47128,687,47815,"47128+687:4,0,0>4,0;7,0,0>7,0;1,6,0>7,0;2,8,1>1,1;8,7,1>5,1|=4",4,47825,False,False,5
2167,418,2585,"2167+418:2,0,0>2,0;1,4,0>6,0;6,1,0>7,0;7,8,1>5,1|=2",2,2685,False,False,4
7616728266,153190,7616881456,"7616728266+153190:7,0,0>7,0;6,0,0>6,0;1,0,0>2,0;6,0,0>6,0;7,1,0>8,0;2,5,0>7,0;8,3,1>1,1;2,1,0>4,0;6,9,1>5,1;6,0,0>6,0|=7",7,7626881556,False,False,10
582,0,582,"582+0:5,0,0>5,0;8,0,0>8,0;2,0,0>2,0|=5",5,582,False,False,3
16,2444846,2444862,"16+2444846:0,2,0>2,0;0,4,0>4,0;0,4,0>4,0;0,4,0>4,0;0,8,0>9,0;1,4,0>5,0;6,6,1>2,1|=2",2,2444962,False,False,7
4002836,8479891,12482727,"4002836+8479891:0,0,1>1,0;4,8,1>3,1;0,4,0>4,0;0,7,0>8,0;2,9,1>1,1;8,8,1>7,1;3,9,1>2,1;6,1,0>7,0|=1",1,23492827,False,False,8
6636889684,957150,6637846834,"6636889684+957150:6,0,0>6,0;6,0,0>7,0;3,0,0>3,0;6,0,0>7,0;8,9,1>8,1;8,5,1>5,1;9,7,1>6,1;6,1,0>7,0;8,5,1>4,1;4,0,0>4,0|=6",6,6738966844,False,False,10
2286,911472797,911475083,"2286+911472797:0,9,0>9,0;0,1,0>1,0;0,1,0>2,0;0,4,0>4,0;0,7,0>7,0;2,2,0>4,0;6,7,1>4,1;8,9,1>7,1;6,7,1>3,1|=9",9,912475583,False,False,9
27689263,8295428906,8323118169,"27689263+8295428906:0,8,0>9,0;0,8,0>8,0;2,9,1>2,1;7,5,1>3,1;7,4,1>1,1;2,2,0>8,0;9,8,1>8,1;3,9,1>2,1;6,0,0>6,0;3,0,0>3,0|=9",9,9934199263,False,False,10
49,96492401,96492450,"49+96492401:0,9,0>9,0;0,6,0>6,0;0,4,0>4,0;0,9,0>9,0;0,2,0>3,0;0,4,0>5,0;4,0,0>5,0;9,1,1>0,1|=9",9,96493560,False,False,8
41097470,40037183,81134653,"41097470+40037183:0,0,1>1,0;4,4,0>8,0;0,0,0>1,0;0,0,0>1,0;9,3,1>2,1;7,7,1>4,1;7,1,0>9,0;7,8,1>5,1;0,3,0>3,0|=1",1,181235053,False,False,9
364,9215678070,9215678434,"364+9215678070:0,9,0>9,0;0,2,0>2,0;0,1,0>2,0;0,5,0>5,0;0,6,0>7,0;0,7,0>7,0;0,8,0>8,0;3,0,0>3,0;6,7,1>3,1;4,0,0>5,0|=9",9,9225778435,False,False,10
6541983,907,6542890,"6541983+907:6,0,0>6,0;5,0,0>6,0;4,0,0>4,0;1,0,0>2,0;9,9,1>9,1;8,0,0>9,0;3,7,1>0,1|=6",6,6644000,False,False,7
611187,14061983,14673170,"611187+14061983:0,1,0>2,0;0,4,0>5,0;1,0,0>1,0;1,6,0>7,0;6,1,0>8,0;1,9,1>0,1;1,8,0>9,0;7,3,1>0,1|=2",2,25179100,False,False,8
24,57169588,57169612,"24+57169588:0,5,0>5,0;0,7,0>7,0;0,1,0>1,0;0,6,0>6,0;0,9,0>9,0;0,5,0>6,0;2,8,1>1,1;4,8,1>3,1|=5",5,57169723,False,False,8
32924595,47883942,80808537,"32924595+47883942:0,0,1>1,0;2,4,0>7,0;2,8,1>1,1;2,8,1>1,1;2,8,1>1,1;5,3,0>8,0;5,9,1>5,1;5,4,0>9,0;5,2,0>7,0|=1",1,182219597,False,False,9
702593,5737057771,5737760364,"702593+5737057771:0,5,0>5,0;0,7,0>8,0;0,3,0>3,0;0,7,0>7,0;2,0,0>2,0;0,5,0>5,0;2,7,1>0,1;5,7,1>2,1;9,7,1>6,1;3,1,0>4,0|=5",5,5837261364,False,False,10
81,780999,781080,"81+780999:0,7,0>7,0;0,8,0>9,0;0,0,0>0,0;0,9,1>0,1;8,9,1>7,1;1,9,1>0,1|=7",7,791180,False,False,6
78,70420,70498,"78+70420:0,7,0>7,0;0,0,0>0,0;0,4,0>4,0;7,2,0>9,0;8,0,0>8,0|=7",7,70498,False,False,5
7936404,7366750668,7374687072,"7936404+7366750668:0,7,0>7,0;0,3,0>4,0;0,6,0>6,0;3,6,0>9,0;6,7,1>3,1;7,5,1>3,1;4,6,1>1,1;4,6,1>0,1;9,6,1>5,1;4,8,1>2,1|=7",7,7470442162,False,False,10
36,953452,953488,"36+953452:0,9,0>9,0;0,5,0>5,0;0,3,0>3,0;0,4,0>4,0;3,5,0>8,0;6,2,0>8,0|=9",9,953488,False,False,6
8676510043,4962012,8681472055,"8676510043+4962012:8,0,0>8,0;6,0,0>7,0;7,0,0>7,0;6,4,1>0,1;5,9,1>4,1;1,6,0>7,0;0,2,0>2,0;0,0,0>1,0;4,1,0>5,0;3,2,0>5,0;4,2,0>6,0|=8",8,87814721556,False,False,11
857,83,940,"857+83:8,0,0>9,0;5,8,1>4,1;7,3,1>0,1|=9",9,1050,False,False,3
89478790,86,89478876,"89478790+86:8,0,0>8,0;9,0,0>9,0;4,0,0>4,0;7,0,0>7,0;8,0,0>8,0;7,0,0>8,0;9,8,1>7,1;0,6,0>7,0|=8",8,89478977,False,False,8
84502610,202397,84705007,"84502610+202397:8,0,0>8,0;4,0,0>4,0;5,2,0>7,0;0,2,0>2,0;2,2,0>4,0;6,3,1>0,1;1,9,1>1,1;0,7,0>7,0|=8",8,84725117,False,False,8
51343854,515,51344369,"51343854+515:5,0,0>5,0;1,0,0>1,0;3,0,0>3,0;4,0,0>4,0;3,0,0>3,0;8,5,1>3,1;5,1,0>6,0;4,5,0>9,0|=5",5,51344369,False,False,8
23,8816263800,8816263823,"23+8816263800:0,8,0>8,0;3,8,1>2,1;0,1,0>1,0;0,6,0>6,0;0,2,0>2,0;0,6,0>6,0;0,3,0>3,0;0,8,0>8,0;2,0,0>2,0;3,0,0>3,0|=8",8,9216263823,False,False,10
776320,98605814,99382134,"776320+98605814:0,9,0>9,0;0,8,0>9,0;7,6,1>3,1;7,0,0>8,0;7,5,1>3,1;3,8,1>1,1;2,1,0>4,0;0,4,0>4,0|=9",9,100394144,False,False,8
3,27,30,"3+27:0,2,0>3,0;3,7,1>0,1|=3",3,40,False,False,2
4251624056,2,4251624058,"4251624056+2:4,0,0>4,0;2,0,0>2,0;5,0,0>5,0;1,0,0>1,0;6,0,0>7,0;2,0,0>2,0;4,0,0>4,0;0,2,0>2,0;5,0,0>5,0;6,2,0>8,0|=4",4,4251724258,False,False,10
49124904,518740692,567865596,"49124904+518740692:0,5,0>5,0;4,1,0>5,0;9,8,1>7,1;4,7,1>1,1;2,4,0>6,0;9,0,0>8,0;9,6,1>5,1;0,9,1>0,1;4,2,1>1,1|=5",5,568169611,False,False,9
2920536604,9063480483,11984017087,"2920536604+9063480483:2,0,0>3,0;2,9,1>2,1;2,0,0>3,0;2,6,0>9,0;2,3,0>5,0;2,4,0>6,0;3,8,1>1,1;6,0,0>6,0;6,4,1>0,1;0,8,0>8,0;4,3,0>4,0|=3",3,42395717084,False,False,11
99071,9973421080,9973520151,"99071+9973421080:0,9,0>9,0;0,9,0>9,0;0,7,0>7,0;0,3,0>3,0;0,4,0>5,0;9,2,1>2,1;9,1,1>0,1;1,0,0>2,0;7,8,1>5,1;1,0,0>2,0|=9",9,9973630352,False,False,10
